tworzyć-3;43392;płodzić-1(cwyt) kreować-1(cumy) tworzyć-1(cumy);0
znajdować-32;55146;znajdować-1(cpos) znajdywać-1(sp);0
sztuka-1;7314;inscenizacja-1(zdarz) sztuka-4(zdarz) przedstawienie-7(wytw) spektakl-1(zdarz) widowisko-1(zdarz);0
osoba-1;6047;jednostka-2(os) osoba-1(os) istota_ludzka-1(os) człowiek-1(os);1
osoba-1;6047;jednostka-2(os) osoba-1(os) istota_ludzka-1(os) człowiek-1(os);1
osoba-1;6047;jednostka-2(os) osoba-1(os) istota_ludzka-1(os) człowiek-1(os);1
osoba-1;6047;jednostka-2(os) osoba-1(os) istota_ludzka-1(os) człowiek-1(os);1
szkoła-1;4766;buda-3(msc) szkoła-1(msc);1
klasa-2;5748;grupa-7(cech) kategoria-1(cech) klasa-1(cech);0
znajdować-32;55146;znajdować-1(cpos) znajdywać-1(sp);0
zespół-4;7710;zespół_muzyczny-1(grp) zespół-6(grp);0
powstać-1;56102;powstać-5(sp);0
tworzyć-3;43392;płodzić-1(cwyt) kreować-1(cumy) tworzyć-1(cumy);0
osoba-1;6047;jednostka-2(os) osoba-1(os) istota_ludzka-1(os) człowiek-1(os);1
znajdować-32;55146;znajdować-1(cpos) znajdywać-1(sp);0
powód-2;1700;motyw-4(umy) pobudka-1(umy) przyczyna-1(umy) źródło-1(umy) racja-5(umy) powód-1(umy);0
zachód-3;52370;zachód-4(czas);0
powód-2;1700;motyw-4(umy) pobudka-1(umy) przyczyna-1(umy) źródło-1(umy) racja-5(umy) powód-1(umy);0
czas-3;50721;czas-3(czas) pora-1(czas) moment-1(czas) period-1(czas) okres-1(czas);1
osoba-1;6047;jednostka-2(os) osoba-1(os) istota_ludzka-1(os) człowiek-1(os);1
działać-2;54227;iść-9(ruch) funkcjonować-1(cst) chodzić-4(ruch) pracować-3(cst) być_na_chodzie-1(cst) działać-3(ruch);0
szkoła-2;52304;szkoła-4(umy);0
piłka-4;2331;piłka-2(wytw);0
osoba-1;6047;jednostka-2(os) osoba-1(os) istota_ludzka-1(os) człowiek-1(os);1
znajdować-32;55146;znajdować-1(cpos) znajdywać-1(sp);0
wynosić-4;3976;wynosić-4(sp) wywyższać-1(cpor);1
wynosić-4;3976;wynosić-4(sp) wywyższać-1(cpor);1
metr-1;1635;metr-1(il) m-1(il);1
znajdować-32;55146;znajdować-1(cpos) znajdywać-1(sp);0
piłka-4;2331;piłka-2(wytw);0
piłka-4;2331;piłka-2(wytw);0
zasada-4;52812;zasada-2(por) reguła-2(por) prawo-5(por);0
czas-1;50721;czas-3(czas) pora-1(czas) moment-1(czas) period-1(czas) okres-1(czas);0
wynosić-4;3976;wynosić-4(sp) wywyższać-1(cpor);1
osoba-1;6047;jednostka-2(os) osoba-1(os) istota_ludzka-1(os) człowiek-1(os);1
osoba-1;6047;jednostka-2(os) osoba-1(os) istota_ludzka-1(os) człowiek-1(os);1
osoba-1;6047;jednostka-2(os) osoba-1(os) istota_ludzka-1(os) człowiek-1(os);1
prowadzić-10;6291;prowadzący-1(os);0
osoba-1;6047;jednostka-2(os) osoba-1(os) istota_ludzka-1(os) człowiek-1(os);1
osoba-1;6047;jednostka-2(os) osoba-1(os) istota_ludzka-1(os) człowiek-1(os);1
osoba-1;6047;jednostka-2(os) osoba-1(os) istota_ludzka-1(os) człowiek-1(os);1
osoba-1;6047;jednostka-2(os) osoba-1(os) istota_ludzka-1(os) człowiek-1(os);1
